STANDAR RESEP,,,,,
JENIS MENU,NAMA MENU,BAHAN,KEBUTUHAN,SATUAN,RESEP PER
Lauk Hewani (Ayam Potong),Ayam Kecap,Lengkuas Bonggol,500,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Bawang Bombay,1000,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Cabai Merah Besar,500,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Bumbu Dasar Putih,1500,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Kecap Manis ABC @825g,3000,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Lada Putih Bubuk,100,g,
Lauk Hewani (Ayam Potong),Ayam Kecap,Garam Refina @500g,,,
Lauk Hewani (Ayam Potong),Ayam Kecap,Gula Pasir,,,
Lauk Hewani (Ayam Potong),Ayam Kecap,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Ayam Potong,29000,g,50
Lauk Hewani (Ayam Potong),Ayam Kentucky,Telur Ayam,205,g,Ayam Potong (Kg)
Lauk Hewani (Ayam Potong),Ayam Kentucky,Tepung Terigu Cakra Kembar @1kg,11000,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Tepung Bumbu Kentucky Sasa @850g,2250,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Maizena,1750,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Bawang Putih Giling,2000,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Jahe Giling,1000,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Lada Putih Bubuk,100,g,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Garam Refina @500g,,,
Lauk Hewani (Ayam Potong),Ayam Kentucky,Totole Kaldu Jamur Non Kolesterol @1kg,,,
Lauk Hewani (Ayam Potong),Ayam Kremes,Ayam Potong,29000,g,50
Lauk Hewani (Ayam Potong),Ayam Kremes,Bumbu Dasar Kuning,2000,g,Ayam Potong (Kg)
Lauk Hewani (Ayam Potong),Ayam Kremes,Daun Salam,1,ikat,
Lauk Hewani (Ayam Potong),Ayam Kremes,Sereh,1,ikat,
Lauk Hewani (Ayam Potong),Ayam Kremes,Telur Ayam,1250,g,
